Date,Tweet
2025-07-08 00:00:00,Emergency teams deployed in Ernakulam after flash floods.
2025-07-02 00:00:00,Keralites share stunning monsoon images on social media.
2025-07-13 00:00:00,Landslide reported near Idukki due to continuous rainfall.
2025-07-20 00:00:00,Authorities on high alert after red warning in Wayanad.
2025-07-22 00:00:00,Rescue operations underway after minor landslide.
2025-07-06 00:00:00,Public advised to avoid hilly areas in Kerala due to landslide risk.
2025-07-23 00:00:00,Public advised to avoid hilly areas in Kerala due to landslide risk.
2025-07-03 00:00:00,Keralites share stunning monsoon images on social media.
2025-07-27 00:00:00,Public advised to avoid hilly areas in Kerala due to landslide risk.
2025-07-15 00:00:00,Authorities on high alert after red warning in Wayanad.
2025-07-07 00:00:00,Heavy rains in Kerala disrupting daily life.
2025-07-15 00:00:00,Rescue operations underway after minor landslide.
2025-07-23 00:00:00,Emergency teams deployed in Ernakulam after flash floods.
2025-07-03 00:00:00,"Munnar flooded again, tourists stuck in resorts."
2025-07-21 00:00:00,Rain in Kochi brings much-needed relief but causes traffic chaos.
2025-07-04 00:00:00,Kerala rain continues for 3rd consecutive day.
2025-07-19 00:00:00,Rescue operations underway after minor landslide.
2025-07-20 00:00:00,Kerala rain continues for 3rd consecutive day.
2025-07-13 00:00:00,Authorities on high alert after red warning in Wayanad.
2025-07-20 00:00:00,Keralites share stunning monsoon images on social media.
2025-07-18 00:00:00,Kerala rain continues for 3rd consecutive day.
2025-07-08 00:00:00,"Munnar flooded again, tourists stuck in resorts."
2025-07-10 00:00:00,Landslide reported near Idukki due to continuous rainfall.
2025-07-11 00:00:00,Landslide reported near Idukki due to continuous rainfall.
2025-07-24 00:00:00,"Munnar flooded again, tourists stuck in resorts."
2025-07-24 00:00:00,Public advised to avoid hilly areas in Kerala due to landslide risk.
2025-07-17 00:00:00,Public advised to avoid hilly areas in Kerala due to landslide risk.
2025-07-01 00:00:00,Rain in Kochi brings much-needed relief but causes traffic chaos.
2025-07-02 00:00:00,Kerala rain continues for 3rd consecutive day.
2025-07-08 00:00:00,Emergency teams deployed in Ernakulam after flash floods.
2025-07-14 00:00:00,Landslide reported near Idukki due to continuous rainfall.
2025-07-07 00:00:00,Authorities on high alert after red warning in Wayanad.
2025-07-02 00:00:00,Public advised to avoid hilly areas in Kerala due to landslide risk.
2025-07-19 00:00:00,Landslide reported near Idukki due to continuous rainfall.
2025-07-03 00:00:00,Rescue operations underway after minor landslide.
2025-07-22 00:00:00,Kerala rain continues for 3rd consecutive day.
2025-07-17 00:00:00,Keralites share stunning monsoon images on social media.
2025-07-09 00:00:00,Landslide reported near Idukki due to continuous rainfall.
2025-07-16 00:00:00,Public advised to avoid hilly areas in Kerala due to landslide risk.
2025-07-19 00:00:00,Public advised to avoid hilly areas in Kerala due to landslide risk.
2025-07-24 00:00:00,Landslide reported near Idukki due to continuous rainfall.
2025-07-03 00:00:00,Keralites share stunning monsoon images on social media.
2025-07-10 00:00:00,Public advised to avoid hilly areas in Kerala due to landslide risk.
2025-07-21 00:00:00,Rain in Kochi brings much-needed relief but causes traffic chaos.
2025-07-17 00:00:00,Keralites share stunning monsoon images on social media.
2025-07-12 00:00:00,Emergency teams deployed in Ernakulam after flash floods.
2025-07-14 00:00:00,Rescue operations underway after minor landslide.
2025-07-14 00:00:00,Emergency teams deployed in Ernakulam after flash floods.
2025-07-19 00:00:00,Public advised to avoid hilly areas in Kerala due to landslide risk.
2025-07-16 00:00:00,"Munnar flooded again, tourists stuck in resorts."
2025-07-25 00:00:00,Heavy rains in Kerala disrupting daily life.
2025-07-24 00:00:00,Landslide reported near Idukki due to continuous rainfall.
2025-07-10 00:00:00,Heavy rains in Kerala disrupting daily life.
2025-07-05 00:00:00,Keralites share stunning monsoon images on social media.
2025-07-03 00:00:00,Keralites share stunning monsoon images on social media.
2025-07-26 00:00:00,"Munnar flooded again, tourists stuck in resorts."
2025-07-09 00:00:00,Authorities on high alert after red warning in Wayanad.
2025-07-20 00:00:00,Heavy rains in Kerala disrupting daily life.
2025-07-14 00:00:00,Rescue operations underway after minor landslide.
2025-07-10 00:00:00,Public advised to avoid hilly areas in Kerala due to landslide risk.
2025-07-20 00:00:00,Authorities on high alert after red warning in Wayanad.
2025-07-25 00:00:00,Keralites share stunning monsoon images on social media.
2025-07-15 00:00:00,Landslide reported near Idukki due to continuous rainfall.
2025-07-02 00:00:00,Kerala rain continues for 3rd consecutive day.
2025-07-24 00:00:00,Keralites share stunning monsoon images on social media.
2025-07-24 00:00:00,Emergency teams deployed in Ernakulam after flash floods.
2025-07-27 00:00:00,Emergency teams deployed in Ernakulam after flash floods.
2025-07-13 00:00:00,Heavy rains in Kerala disrupting daily life.
2025-07-13 00:00:00,Rescue operations underway after minor landslide.
2025-07-05 00:00:00,"Munnar flooded again, tourists stuck in resorts."
2025-07-09 00:00:00,Kerala rain continues for 3rd consecutive day.
2025-07-29 00:00:00,Landslide reported near Idukki due to continuous rainfall.
2025-07-01 00:00:00,Public advised to avoid hilly areas in Kerala due to landslide risk.
2025-07-28 00:00:00,Kerala rain continues for 3rd consecutive day.
2025-07-08 00:00:00,Authorities on high alert after red warning in Wayanad.
2025-07-09 00:00:00,"Munnar flooded again, tourists stuck in resorts."
2025-07-08 00:00:00,Rescue operations underway after minor landslide.
2025-07-26 00:00:00,Kerala rain continues for 3rd consecutive day.
2025-07-28 00:00:00,"Munnar flooded again, tourists stuck in resorts."
2025-07-26 00:00:00,Keralites share stunning monsoon images on social media.
2025-07-28 00:00:00,Rescue operations underway after minor landslide.
2025-07-15 00:00:00,Emergency teams deployed in Ernakulam after flash floods.
2025-07-22 00:00:00,Landslide reported near Idukki due to continuous rainfall.
2025-07-04 00:00:00,Heavy rains in Kerala disrupting daily life.
2025-07-20 00:00:00,Emergency teams deployed in Ernakulam after flash floods.
2025-07-19 00:00:00,Rain in Kochi brings much-needed relief but causes traffic chaos.
2025-07-17 00:00:00,Rain in Kochi brings much-needed relief but causes traffic chaos.
2025-07-21 00:00:00,Rescue operations underway after minor landslide.
2025-07-15 00:00:00,Rescue operations underway after minor landslide.
2025-07-13 00:00:00,Keralites share stunning monsoon images on social media.
2025-07-22 00:00:00,Landslide reported near Idukki due to continuous rainfall.
2025-07-25 00:00:00,Emergency teams deployed in Ernakulam after flash floods.
2025-07-06 00:00:00,Rescue operations underway after minor landslide.
2025-07-06 00:00:00,Public advised to avoid hilly areas in Kerala due to landslide risk.
2025-07-10 00:00:00,Keralites share stunning monsoon images on social media.
2025-07-28 00:00:00,Rain in Kochi brings much-needed relief but causes traffic chaos.
2025-07-27 00:00:00,Keralites share stunning monsoon images on social media.
2025-07-20 00:00:00,Landslide reported near Idukki due to continuous rainfall.
2025-07-16 00:00:00,Landslide reported near Idukki due to continuous rainfall.
2025-07-27 00:00:00,Emergency teams deployed in Ernakulam after flash floods.
